법령일련번호,법령명,법령구분,소관부처,시행일자
273345,교육공무원법,법률,교육부,20260215
273697,교육공무원임용령,대통령령,교육부,20250919
233995,교육관련기관의 정보공개에 관한 특례법,법률,교육부,20220721
268971,교육관련기관의 정보공개에 관한 특례법 시행령,대통령령,교육부,20250211
230359,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법,법률,교육부,20210323
268515,교육기본법,법률,교육부,20250722
283515,교육부와 그 소속기관 직제,대통령령,교육부,행정안전부,20260219
248725,교육비특별회계 회계기준에 관한 규칙,교육부령,교육부,20230303
280369,교육세법,법률,재정경제부,20260101
283617,교육세법 시행령,대통령령,재정경제부,20260227
259603,교육시설 등의 안전 및 유지관리 등에 관한 법률,법률,교육부,20250207
273347,교육환경 보호에 관한 법률,법률,교육부,20260215
264411,교육환경 보호에 관한 법률 시행령,대통령령,교육부,20240730
222423,교정공제회법,법률,법무부,20201020
276071,교통ㆍ에너지ㆍ환경세법,법률,재정경제부,20260102
270243,교통ㆍ에너지ㆍ환경세법 시행규칙,기획재정부령,재정경제부,20250401
285301,교통ㆍ에너지ㆍ환경세법 시행령,대통령령,재정경제부,20260401
268077,교통사고처리 특례법,법률,경찰청,법무부,20250604
276947,교통시설특별회계법,법률,국토교통부,20260102
254099,교통안전법,법률,국토교통부,20240817
266903,교통안전법 시행규칙,국토교통부령,국토교통부,20241129
281255,교통안전법 시행령,대통령령,국토교통부,20260102
268757,교통약자의 이동편의 증진법,법률,국토교통부,20260201
282895,교통약자의 이동편의 증진법 시행령,대통령령,국토교통부,20260201
251785,구강보건법,법률,보건복지부,질병관리청,20250614
269865,구급차의 기준 및 응급환자이송업의 시설 등 기준에 관한 규칙,보건복지부령,국토교통부,보건복지부,20250311
253641,구직자 취업촉진 및 생활안정지원에 관한 법률,법률,고용노동부,20240209
268727,국가경찰과 자치경찰의 조직 및 운영에 관한 법률,법률,경찰청,20260201
276949,국가공간정보 기본법,법률,국토교통부,20260102
282927,국가공간정보 기본법 시행령,대통령령,국토교통부,20260201
277933,국가공간정보센터 운영규정,대통령령,국토교통부,20251001
277527,국가공무원 등 직무발명의 처분ㆍ관리 및 보상 등에 관한 규정,대통령령,지식재산처,20251001
281717,국가공무원 명예퇴직수당 등 지급 규정,대통령령,인사혁신처,20260102
280209,국가공무원 복무규정,대통령령,인사혁신처,20251204
282541,국가공무원 복무규칙,총리령,인사혁신처,20260101
267601,국가공무원법,법률,인사혁신처,20250701
52789,국가공무원법제3조제3항의공무원의범위에관한규정,대통령령,인사혁신처,20020710
268729,국가과학기술 경쟁력 강화를 위한 이공계지원 특별법,법률,과학기술정보통신부,20260201
265809,국가과학기술자문회의법,법률,과학기술정보통신부,20250423
233989,국가교육위원회 설치 및 운영에 관한 법률,법률,국가교육위원회,20220721
276473,국가기간 전력망 확충 특별법,법률,기후에너지환경부,20251001
243041,국가기술자격법,법률,고용노동부,20220610
282349,국가기술자격법 시행규칙,고용노동부령,고용노동부,20260102
281223,국가기술자격법 시행령,대통령령,고용노동부,20260102
277151,국가를 당사자로 하는 계약에 관한 법률,법률,재정경제부,조달청,20260102
282607,국가를 당사자로 하는 계약에 관한 법률 시행규칙,재정경제부령,재정경제부,조달청,20260102
280803,국가를 당사자로 하는 계약에 관한 법률 시행령,대통령령,재정경제부,조달청,20260102
91382,국가를 당사자로 하는 소송에 관한 법률,법률,법무부,20090130
227271,국가를 당사자로 하는 소송에 관한 법률 시행령,대통령령,법무부,20210105
268079,국가배상법,법률,법무부,20250107
255765,국가배상법 시행령,대통령령,법무부,20240118
179033,국가보안법,법률,법무부,20170707
